baseMean	log2FoldChange	lfcSE	pvalue	padj
BHNFMJIF_00001	70.3257155444521	-2.11894038365662	0.244137457428248	8.8721062917109e-19	2.15568027779466e-18
BHNFMJIF_00002	75.0343766874488	-1.51140459867272	0.249219712729069	5.0142653257694e-10	8.83516761242826e-10
BHNFMJIF_00003	67.0382165682996	-2.51516855931201	0.282272253112929	1.26167003917183e-19	3.15131200404341e-19
BHNFMJIF_00004	68.1207557228387	-1.57357506947449	0.260312604813125	4.73458434236883e-10	8.3646856599796e-10
BHNFMJIF_00005	69.904974003338	-1.18574874796534	0.219225492239817	3.25081023144655e-08	5.31394821001808e-08
BHNFMJIF_00006	70.6575897216441	-1.94427938524851	0.249547930787054	1.81053918942794e-15	3.95396852082741e-15
BHNFMJIF_00007	324.923998549377	-0.867053715698633	0.127227349666703	6.37995764495513e-12	1.2107252956116e-11
BHNFMJIF_00008	99.8259806423202	-0.983441051469788	0.191975537088202	1.86378298340101e-07	2.93197304010964e-07
BHNFMJIF_00009	280.198340564121	-1.00959866975738	0.138579857328267	1.91598712141177e-13	3.8623867368142e-13
BHNFMJIF_00010	134.036399396946	-0.666431002795542	0.164931784782128	4.2088199458538e-05	5.87384761674102e-05
BHNFMJIF_00012	235.016010407623	-0.423468955677299	0.149465410213276	0.00416997689340775	0.00525143543174385
BHNFMJIF_00013	539.530447665118	-0.401215922987178	0.119912324933351	0.000791427175283218	0.0010374325259171
BHNFMJIF_00014	49.2542070404062	-0.247997873032534	0.236462022577405	0.281426225222916	0.304478832138292
BHNFMJIF_00015	61.6552216876596	-3.63257677983614	0.328322557467689	6.26113555835736e-29	1.99366148637377e-28
BHNFMJIF_00017	35.717196652954	-3.59742313904993	0.436054824432744	3.87405919296602e-17	8.97694277556055e-17
BHNFMJIF_00018	26.5553988740034	-3.86916627625438	0.55313163084307	8.54146167272257e-13	1.67780526135217e-12
BHNFMJIF_00019	56.498730026484	-3.22836145778011	0.316312821023258	4.65299737807494e-25	1.34655542001783e-24
BHNFMJIF_00020	35.9135619194223	-3.51671157948615	0.436868376264402	2.16701129375331e-16	4.91109903361252e-16
BHNFMJIF_00022	68.0288101862299	-0.717703805483512	0.246698192840703	0.00258180932237127	0.00328395007028888
BHNFMJIF_00024	53.8196724673756	-1.22745210095519	0.24641800750608	3.0899817758367e-07	4.80372873060865e-07
BHNFMJIF_00026	41.019257297118	-3.06224750269753	0.374731791967034	6.64244142931742e-17	1.5295217294007e-16
