baseMean	log2FoldChange	lfcSE	pvalue	padj
BHNFMJIF_00001	70.3257155444521	-1.36559002857044	0.229491299187205	1.13503286729595e-09	2.06494684727891e-09
BHNFMJIF_00002	75.0343766874488	-0.464398844118731	0.226862566932519	0.0358144279529019	0.0426159427389124
BHNFMJIF_00003	67.0382165682996	-1.36538460318521	0.250634394082441	2.23987054097137e-08	3.83612682898727e-08
BHNFMJIF_00004	68.1207557228387	-0.925880522537844	0.24997174227077	0.000140754415081895	0.000195693085726492
BHNFMJIF_00005	69.904974003338	-0.746668377887001	0.217111833912683	0.000424856847132825	0.00057589380510369
BHNFMJIF_00006	70.6575897216441	-0.594546111792596	0.213063484490193	0.00426878030121738	0.00542761361363873
BHNFMJIF_00007	324.923998549377	-0.019639921088822	0.122089536966313	0.870537394287403	0.882836141258294
BHNFMJIF_00008	99.8259806423202	0.128484023330515	0.173722965362121	0.456688069573396	0.483018579670517
BHNFMJIF_00009	280.198340564121	-0.189472249957435	0.133091713223987	0.152396387690417	0.170696360974816
BHNFMJIF_00010	134.036399396946	-0.449287146311401	0.168089535321896	0.00691325383891324	0.00866321221104043
BHNFMJIF_00012	235.016010407623	-0.254007468923959	0.151761632616062	0.0907453649006825	0.10382542743352
BHNFMJIF_00013	539.530447665118	-0.459638419447308	0.122939905026361	0.00015608630026052	0.000216735476644339
BHNFMJIF_00014	49.2542070404062	-0.268273519281136	0.24917713393785	0.267687640138044	0.292199863714321
BHNFMJIF_00015	61.6552216876596	-3.10385624423764	0.320727215147443	9.87744287278583e-23	2.8710665815087e-22
BHNFMJIF_00017	35.717196652954	-4.21463440543905	0.564541493305511	3.38595489254342e-14	7.4536153701189e-14
BHNFMJIF_00018	26.5553988740034	-2.18041064775885	0.420071560887596	4.9016775395352e-08	8.22843885894521e-08
BHNFMJIF_00019	56.498730026484	-2.36738078289818	0.28743942911523	4.274318537927e-17	1.05248320747464e-16
BHNFMJIF_00020	35.9135619194223	-2.30198121315418	0.369927231047603	1.20933096976751e-10	2.30554899663529e-10
BHNFMJIF_00022	68.0288101862299	-0.0369957349404377	0.236619275666599	0.870935006608274	0.882968189075997
BHNFMJIF_00024	53.8196724673756	-0.506521942924096	0.231545137622483	0.0247906372559796	0.0298754321968046
BHNFMJIF_00026	41.019257297118	-2.09008087584168	0.336727891946382	1.27488353086721e-10	2.42771938807586e-10
BHNFMJIF_00027	26.7917642075954	-2.54799809972633	0.454126907176151	4.35627155668133e-09	7.69631283047712e-09
BHNFMJIF_00028	34.4419177789456	-1.460242957455	0.333612392718624	4.52092147486582e-06	6.86664338086796e-06
BHNFMJIF_00035	48.6121900967461	0.755079542857042	0.244432838481817	0.00141059707600473	0.00185717366226779
BHNFMJIF_00039	296.946499247361	-0.116890338954145	0.154211916960048	0.442489009422875	0.469504726579156
BHNFMJIF_00040	192.606028448398	-0.446008881844886	0.158721128384978	0.00434204342562175	0.00551439515053963
BHNFMJIF_00055	170.17878482353	-0.470295652376353	0.173732277651674	0.00587576363994657	0.00739115106251565
BHNFMJIF_00056	446.39913582493	0.787009774567005	0.11428110132564	3.94040917352477e-12	8.02666939603874e-12
BHNFMJIF_00057	520.556374305494	-0.950212208428846	0.109282349788573	2.24656507499644e-18	5.768396483389e-18
