featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00118	1344	81.5	80.81	37.92
JJAGMNAF_00119	1887	429.5	422.53	141.20
JJAGMNAF_00120	384	32.0	28.31	46.50
JJAGMNAF_00121	1224	18.0	17.11	8.82
JJAGMNAF_00122	1650	9.0	6.94	2.65
JJAGMNAF_00123	1938	6.0	6.00	1.95
JJAGMNAF_00124	2637	20.0	20.00	4.78
JJAGMNAF_00125	1086	7.0	7.00	4.06
JJAGMNAF_00126	1923	11.0	11.00	3.61
JJAGMNAF_00127	1386	59.0	58.09	26.43
JJAGMNAF_00128	1427	95.5	93.49	41.32
JJAGMNAF_00129	134	23.0	13.73	64.61
JJAGMNAF_00130	933	170.0	163.38	110.43
JJAGMNAF_00131	1437	36.5	33.42	14.67
JJAGMNAF_00132	2028	81.5	81.18	25.24
JJAGMNAF_00133	3327	134.5	134.28	25.45
JJAGMNAF_00134	516	28.5	27.67	33.82
JJAGMNAF_00135	2814	627.0	627.00	140.51
JJAGMNAF_00136	2727	91.0	90.50	20.93
JJAGMNAF_00137	1614	17.5	16.77	6.55
JJAGMNAF_00138	2367	47.5	45.00	11.99
JJAGMNAF_00139	3422	226.5	224.89	41.44
JJAGMNAF_00140	1931	153.0	146.39	47.81
JJAGMNAF_00141	1827	108.5	107.75	37.19
JJAGMNAF_00142	3078	210.0	208.88	42.79
JJAGMNAF_00143	546	55.0	53.04	61.26
JJAGMNAF_00144	1227	113.0	110.10	56.58
JJAGMNAF_00145	2805	2826.5	2753.39	619.01
JJAGMNAF_00148	387	114.0	106.20	173.05
JJAGMNAF_00149	1851	932.0	925.18	315.20
JJAGMNAF_00150	1215	711.0	692.86	359.61
JJAGMNAF_00151	1194	1008.5	988.23	521.94
JJAGMNAF_00152	168	289.5	256.50	962.81
JJAGMNAF_00153	2979	241.5	237.20	50.21
JJAGMNAF_00154	843	46.0	45.53	34.06
JJAGMNAF_00155	780	39.5	37.83	30.58
JJAGMNAF_00156	354	734.0	644.97	1148.95
JJAGMNAF_00157	219	27.0	19.85	57.15
JJAGMNAF_00158	4281	633.5	627.18	92.39
JJAGMNAF_00159	315	5.5	5.37	10.75
JJAGMNAF_00160	1416	22.5	22.30	9.93
JJAGMNAF_00161	1904	15.5	15.48	5.13
JJAGMNAF_00162	1385	24.0	23.41	10.66
JJAGMNAF_00163	2352	65.5	65.29	17.50
JJAGMNAF_00164	384	3.5	2.86	4.70
JJAGMNAF_00165	723	2.0	0.99	0.86
JJAGMNAF_00166	1167	237.5	228.61	123.54
JJAGMNAF_00167	3321	85.0	76.77	14.58
JJAGMNAF_00168	1644	13.5	12.17	4.67
JJAGMNAF_00169	1827	16.0	15.81	5.46
JJAGMNAF_00170	2979	47.0	46.65	9.88
JJAGMNAF_00171	2856	85.5	85.02	18.77
JJAGMNAF_00172	1395	44.5	42.60	19.26
